pf,0F,po,so,flds,o,proc,st,m,rl,x,mnemonic,op1,op2,op3,op4,iext,grp1,grp2,grp3,tested_f,modif_f,def_f,undef_f,f_values,description
,,0,,dw,r,,,,,L,ADD,Eb,Gb,,,,gen,arith,binary,,o..szapc,o..szapc,,,Add
,,1,,dW,r,,,,,L,ADD,Evqp,Gvqp,,,,gen,arith,binary,,o..szapc,o..szapc,,,Add
,,2,,Dw,r,,,,,,ADD,Gb,Eb,,,,gen,arith,binary,,o..szapc,o..szapc,,,Add
,,3,,DW,r,,,,,,ADD,Gvqp,Evqp,,,,gen,arith,binary,,o..szapc,o..szapc,,,Add
,,4,,w,,,,,,,ADD,AL,Ib,,,,gen,arith,binary,,o..szapc,o..szapc,,,Add
,,5,,W,,,,,,,ADD,rAX,Ivds,,,,gen,arith,binary,,o..szapc,o..szapc,,,Add
,,6,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,7,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,8,,dw,r,,,,,L,OR,Eb,Gb,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,9,,dW,r,,,,,L,OR,Evqp,Gvqp,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,0A,,Dw,r,,,,,,OR,Gb,Eb,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,0B,,DW,r,,,,,,OR,Gvqp,Evqp,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,0C,,w,,,,,,,OR,AL,Ib,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,0D,,W,,,,,,,OR,rAX,Ivds,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,0E,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,0F,,,,,,,,,Two-byte Instructions,,,,,,,,,,,,,,
,,10,,dw,r,,,,,L,ADC,Eb,Gb,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Add with Carry
,,11,,dW,r,,,,,L,ADC,Evqp,Gvqp,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Add with Carry
,,12,,Dw,r,,,,,,ADC,Gb,Eb,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Add with Carry
,,13,,DW,r,,,,,,ADC,Gvqp,Evqp,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Add with Carry
,,14,,w,,,,,,,ADC,AL,Ib,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Add with Carry
,,15,,W,,,,,,,ADC,rAX,Ivds,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Add with Carry
,,16,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,17,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,18,,dw,r,,,,,L,SBB,Eb,Gb,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,19,,dW,r,,,,,L,SBB,Evqp,Gvqp,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,1A,,Dw,r,,,,,,SBB,Gb,Eb,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,1B,,DW,r,,,,,,SBB,Gvqp,Evqp,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,1C,,w,,,,,,,SBB,AL,Ib,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,1D,,W,,,,,,,SBB,rAX,Ivds,,,,gen,arith,binary,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,1E,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,1F,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,20,,dw,r,,,,,L,AND,Eb,Gb,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
,,21,,dW,r,,,,,L,AND,Evqp,Gvqp,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
,,22,,Dw,r,,,,,,AND,Gb,Eb,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
,,23,,DW,r,,,,,,AND,Gvqp,Evqp,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
,,24,,w,,,,,,,AND,AL,Ib,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
,,25,,W,,,,,,,AND,rAX,Ivds,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
26,,,,,,,,E,,,null,,,,,,prefix,segreg,,,,,,,Null Prefix in 64-bit Mode
,,27,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,28,,dw,r,,,,,L,SUB,Eb,Gb,,,,gen,arith,binary,,o..szapc,o..szapc,,,Subtract
,,29,,dW,r,,,,,L,SUB,Evqp,Gvqp,,,,gen,arith,binary,,o..szapc,o..szapc,,,Subtract
,,2A,,Dw,r,,,,,,SUB,Gb,Eb,,,,gen,arith,binary,,o..szapc,o..szapc,,,Subtract
,,2B,,DW,r,,,,,,SUB,Gvqp,Evqp,,,,gen,arith,binary,,o..szapc,o..szapc,,,Subtract
,,2C,,w,,,,,,,SUB,AL,Ib,,,,gen,arith,binary,,o..szapc,o..szapc,,,Subtract
,,2D,,W,,,,,,,SUB,rAX,Ivds,,,,gen,arith,binary,,o..szapc,o..szapc,,,Subtract
2E,,,,,,,,E,,,null,,,,,,prefix,segreg,,,,,,,Null Prefix in 64-bit Mode
,,2F,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,30,,dw,r,,,,,L,XOR,Eb,Gb,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
,,31,,dW,r,,,,,L,XOR,Evqp,Gvqp,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
,,32,,Dw,r,,,,,,XOR,Gb,Eb,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
,,33,,DW,r,,,,,,XOR,Gvqp,Evqp,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
,,34,,w,,,,,,,XOR,AL,Ib,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
,,35,,W,,,,,,,XOR,rAX,Ivds,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
36,,,,,,,,E,,,null,,,,,,prefix,segreg,,,,,,,Null Prefix in 64-bit Mode
,,37,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
